iter	Logloss
222	0.245817566
223	0.245797067
224	0.245763039
225	0.2457381357
226	0.2457191835
227	0.2457028081
228	0.2456653288
229	0.2456298819
230	0.2456065479
231	0.2455917183
232	0.2455645974
233	0.2455197228
234	0.2455013084
235	0.2454690252
236	0.2454600839
237	0.2454389025
238	0.2454218759
239	0.2453857927
240	0.2453522362
241	0.2453311058
242	0.2453068669
243	0.2452846369
244	0.2452459054
245	0.2451919186
246	0.245170177
247	0.2451480616
248	0.2451319492
249	0.245115291
250	0.2450965073
251	0.2450726627
252	0.2450440525
253	0.2450232192
254	0.2450034921
255	0.2449802214
256	0.2449485103
257	0.2449196289
258	0.2448909179
259	0.2448781301
260	0.2448387683
261	0.2448250248
262	0.2448085433
263	0.2447849925
264	0.2447613659
265	0.2447369698
266	0.24469292
267	0.2446638691
268	0.2446400071
269	0.244625625
270	0.2446003781
271	0.2445714334
272	0.2445455433
273	0.2445269394
274	0.244485331
275	0.2444638808
276	0.2444469647
277	0.2444118004
278	0.2443925444
279	0.2443783663
280	0.2443592393
281	0.2443322366
282	0.2443073329
283	0.2442739942
284	0.2442513301
285	0.2442281987
286	0.2442060801
287	0.2441949613
288	0.2441677157
289	0.2441527808
290	0.2441182727
291	0.2440906498
292	0.2440636787
293	0.2440420901
294	0.2440140622
295	0.2439913227
296	0.2439473731
297	0.2439199506
298	0.2438897371
299	0.2438605866
300	0.243843373
301	0.2438132833
302	0.2437873368
303	0.2437621976
304	0.2437350913
305	0.2437183813
306	0.2437046547
307	0.2436650165
308	0.2436430511
309	0.2436247132
310	0.2436029104
311	0.2435729504
312	0.2435437703
313	0.2435087144
314	0.2434821626
315	0.2434569585
316	0.2434389608
317	0.2433892188
318	0.2433719507
319	0.2433501294
320	0.2433233077
321	0.2433138452
322	0.2432828022
323	0.2432654229
324	0.2432427926
325	0.2432148586
326	0.2431823507
327	0.2431583332
328	0.2431410829
329	0.2431227791
330	0.2430936422
331	0.243052919
332	0.2430257965
333	0.2430168562
334	0.242994998
335	0.2429673713
336	0.2429528355
337	0.2429403914
338	0.2429134649
339	0.2429016193
340	0.2428902809
341	0.2428713683
342	0.2428482699
343	0.2428297148
344	0.2428114822
345	0.2427842358
346	0.2427729169
347	0.2427602379
348	0.2427394192
349	0.2427238819
350	0.2427118496
351	0.2426869223
352	0.2426659497
353	0.2426320879
354	0.2426081204
355	0.2425821181
356	0.2425677293
357	0.2425519247
358	0.2425307483
359	0.2425027781
360	0.2424707529
361	0.2424372949
362	0.2424176619
363	0.2423946647
364	0.2423653722
365	0.2423490159
366	0.2423228766
367	0.2422983293
368	0.2422752183
369	0.2422609309
370	0.2422421622
371	0.242225643
372	0.2422031577
373	0.2421708736
374	0.2421549393
375	0.2421287715
376	0.2421043745
377	0.2420826456
378	0.2420671435
379	0.2420512554
380	0.2420258247
381	0.2420006383
382	0.2419901536
383	0.2419591901
384	0.2419350924
385	0.241906281
386	0.2418814946
387	0.2418649062
388	0.2418389511
389	0.2418257948
390	0.2418021388
391	0.2417706285
392	0.2417623965
393	0.2417351791
394	0.2417239571
395	0.2417104288
396	0.2416910082
397	0.2416614337
398	0.2416413223
399	0.2416223869
400	0.2415953385
401	0.241576105
402	0.2415489607
403	0.2415248924
404	0.2414810891
405	0.2414626786
406	0.241441745
407	0.2414239259
408	0.2414021478
409	0.2413811563
410	0.2413626548
411	0.2413457465
412	0.2413318334
413	0.2413186616
414	0.2413027172
415	0.2412825475
416	0.241256986
417	0.2412371404
418	0.2412237922
419	0.2411961972
420	0.2411774593
421	0.2411683345
422	0.241148884
423	0.2411238673
424	0.2410978548
425	0.2410740133
426	0.241058703
427	0.2410325876
428	0.2410038828
429	0.2409803344
430	0.2409670278
431	0.2409484112
432	0.240922537
433	0.2409051689
434	0.2408864038
435	0.2408733248
436	0.240853836
437	0.2408248295
438	0.240798333
439	0.2407701541
440	0.2407420802
441	0.2407104414
442	0.2406895085
443	0.2406684123
444	0.2406526073
445	0.2406274426
446	0.2406230464
447	0.2405967665
448	0.2405822054
449	0.2405508575
450	0.24053148
451	0.2405074948
452	0.2404921026
453	0.2404794521
454	0.2404498418
455	0.2404349248
456	0.2404077853
457	0.2403800988
458	0.2403683983
459	0.2403579555
460	0.2403476952
461	0.2403235227
462	0.2403008799
463	0.2402768484
464	0.2402633016
465	0.2402409537
466	0.2402099795
467	0.2401927685
468	0.2401644066
469	0.2401421576
470	0.2401162572
471	0.2400948574
472	0.2400776973
473	0.2400647799
474	0.2400474721
475	0.2400342134
476	0.2400210001
477	0.2400069449
478	0.2399771506
479	0.2399500164
480	0.2399301962
481	0.2399162065
482	0.2398963987
483	0.2398710424
484	0.2398491715
485	0.2398335386
486	0.2398175891
487	0.2397987545
488	0.2397829786
489	0.2397697781
490	0.2397419465
491	0.239730544
492	0.239718695
493	0.2397083652
494	0.2396879913
495	0.2396654945
496	0.2396415274
497	0.2396111502
498	0.2395905457
499	0.2395749031
500	0.2395567768
501	0.2395319149
502	0.2395136251
503	0.2394931153
504	0.2394694537
505	0.2394495121
506	0.2394269999
507	0.2394077519
508	0.2393902645
509	0.239369499
510	0.2393510028
511	0.239340388
512	0.2393193245
513	0.239303506
514	0.2392841507
515	0.239270015
516	0.2392522169
517	0.2392323658
518	0.2392083422
519	0.2391956449
520	0.2391695984
521	0.2391502672
522	0.2391437492
523	0.2391294037
524	0.2391126061
525	0.2390994241
526	0.2390660705
527	0.2390421813
528	0.2390240516
529	0.239003672
530	0.2389897839
531	0.2389753246
532	0.238944942
533	0.238926086
534	0.2389069731
535	0.2388762001
536	0.2388567564
537	0.2388335139
538	0.2387989842
539	0.2387833975
540	0.2387537709
541	0.2387340708
542	0.2386982795
543	0.238682758
544	0.2386687921
545	0.2386562149
546	0.2386324294
547	0.2386012397
548	0.238586073
549	0.2385734527
550	0.2385627861
551	0.2385487411
552	0.2385309467
553	0.2385082092
554	0.2384712425
555	0.2384557616
556	0.238427844
557	0.2384143328
558	0.238399867
559	0.2383825582
560	0.2383608038
561	0.2383444569
562	0.2383352432
563	0.2382973393
564	0.2382664396
565	0.2382526669
566	0.238240528
567	0.2382140625
568	0.2381800662
569	0.238156148
570	0.2381349617
571	0.2381196886
572	0.2381007231
573	0.2380859707
574	0.238072933
575	0.23805846
576	0.2380411393
577	0.238018603
578	0.2380035497
579	0.2379795237
580	0.2379614481
581	0.2379465494
582	0.2379221329
583	0.2378966872
584	0.2378769343
585	0.2378557541
586	0.2378398647
587	0.2378191953
588	0.2378030513
589	0.2377777128
590	0.237738615
591	0.2377111915
592	0.2376961761
593	0.2376788322
594	0.2376577039
595	0.2376462222
596	0.2376300869
597	0.2376219505
598	0.2376112607
599	0.2375821892
600	0.2375589294
601	0.2375391884
602	0.2375231047
603	0.2375008192
604	0.2374737158
605	0.2374506652
606	0.2374309783
607	0.2374142857
608	0.237399689
609	0.2373907503
610	0.2373815485
611	0.2373486847
612	0.2373256829
613	0.2373041589
614	0.2372874289
615	0.2372635639
616	0.2372457616
617	0.2372205588
618	0.2372101789
619	0.2371952822
620	0.2371684794
621	0.2371385476
622	0.2371113968
623	0.2370923248
624	0.2370777646
625	0.2370616741
626	0.2370444811
627	0.2370180592
628	0.2369918638
629	0.2369710101
630	0.2369561888
631	0.236934964
632	0.2369227874
633	0.2368991276
634	0.2368803334
635	0.2368628211
636	0.2368427935
637	0.236830323
638	0.2368076169
639	0.2367904818
640	0.2367731945
641	0.2367615773
642	0.2367540041
643	0.2367356195
644	0.2367254716
645	0.2367022295
646	0.2366799141
647	0.2366621556
648	0.23664633
649	0.2366263461
650	0.2366088565
651	0.2365913848
652	0.2365745023
653	0.236550601
654	0.2365365907
655	0.2365045648
656	0.2364910362
657	0.2364757954
658	0.2364635817
659	0.2364463211
660	0.2364291059
661	0.2364230714
662	0.2364070566
663	0.2363815722
664	0.2363640029
665	0.2363432662
666	0.2363285827
667	0.2363182327
668	0.2362982413
669	0.2362814532
670	0.2362622844
671	0.2362465974
672	0.2362352136
673	0.2362264277
674	0.236211909
675	0.2361919108
676	0.2361732108
677	0.2361547067
678	0.2361381641
679	0.2361213487
680	0.2360976587
681	0.2360730853
682	0.2360597077
683	0.2360452318
684	0.236034113
685	0.2360227751
686	0.2360139534
687	0.2359994498
688	0.2359751721
689	0.2359593641
690	0.2359420406
691	0.2359223793
692	0.2359030186
693	0.2358784638
694	0.2358583361
695	0.235838911
696	0.2358184957
697	0.2358041206
698	0.2357880169
699	0.2357657382
700	0.2357467033
701	0.2357198782
702	0.2357004054
703	0.2356753066
704	0.2356570448
705	0.2356388394
706	0.2356117889
707	0.2355948989
708	0.2355813719
709	0.2355592611
710	0.2355509584
711	0.2355263803
712	0.2355144301
713	0.2355015075
714	0.2354853447
715	0.2354746483
716	0.235446319
717	0.2354335592
718	0.2354122712
719	0.2353891933
720	0.2353658099
721	0.2353405599
722	0.2353177299
723	0.2352968539
724	0.2352827633
725	0.2352645051
726	0.2352419985
727	0.2352290418
728	0.2352175025
729	0.2352056384
730	0.2351904023
731	0.2351758462
732	0.2351614254
733	0.2351409013
734	0.2351265393
735	0.2351144878
736	0.2350923532
737	0.2350840739
738	0.2350652923
739	0.2350436432
740	0.2350302929
741	0.2350165669
742	0.2349950228
743	0.2349755672
744	0.2349628033
745	0.2349530634
746	0.2349273858
747	0.234910705
748	0.2348871705
749	0.2348736224
750	0.2348637312
751	0.2348369905
752	0.234822477
753	0.2348023651
754	0.2347944804
755	0.2347879359
756	0.2347683625
757	0.234742767
758	0.2347294393
759	0.2347195714
760	0.2347058402
761	0.2346886853
762	0.2346747723
763	0.2346568677
764	0.2346409696
765	0.2346212017
766	0.2346010898
767	0.2345798223
768	0.2345695685
769	0.2345595362
770	0.2345466836
771	0.2345278748
772	0.2345047084
773	0.2344888996
774	0.234473294
775	0.2344519173
776	0.2344390187
777	0.2344247686
778	0.2344022307
779	0.2343753378
780	0.2343492615
781	0.2343361613
782	0.2343256097
783	0.23430671
784	0.2342943944
785	0.234275963
786	0.2342534492
787	0.2342420016
788	0.2342211891
789	0.2342029401
790	0.2341826952
791	0.2341715924
792	0.234152036
793	0.2341375916
794	0.2341272445
795	0.2341094434
796	0.234093342
797	0.2340672668
798	0.2340499081
799	0.2340403517
800	0.2340141032
801	0.2339848702
802	0.2339562149
803	0.2339264223
804	0.2339042899
805	0.2338741302
806	0.2338528668
807	0.2338402428
808	0.2338142584
809	0.233784621
810	0.2337707439
811	0.2337417258
812	0.2337162339
813	0.2336999236
814	0.2336866445
815	0.2336709988
816	0.2336585113
817	0.2336359549
818	0.2336160872
819	0.2335928916
820	0.2335751096
821	0.2335556301
822	0.2335235747
823	0.233506214
824	0.2334873355
825	0.2334729604
826	0.233465869
827	0.2334560001
828	0.2334421942
829	0.2334304762
830	0.2334105361
831	0.233392241
832	0.2333635191
833	0.2333427295
834	0.233319033
835	0.2332936151
836	0.2332745736
837	0.2332526376
838	0.2332397887
839	0.2332169758
840	0.2331941673
841	0.233173878
842	0.2331499776
843	0.2331382439
844	0.2331132938
845	0.2331002297
846	0.2330849619
847	0.2330601544
848	0.2330448509
849	0.2330241326
850	0.2329966481
851	0.2329824548
852	0.232957882
853	0.2329322881
854	0.2329024297
855	0.2328853347
856	0.2328661623
857	0.2328583754
858	0.2328413711
859	0.2328307569
860	0.2328157216
861	0.2327910823
862	0.2327673829
863	0.2327541603
864	0.2327400416
865	0.2327270291
866	0.2327155243
867	0.2327012425
868	0.2326819183
869	0.2326575553
870	0.2326343279
871	0.2326180348
872	0.2326137144
873	0.2325904692
874	0.2325771824
875	0.2325648737
876	0.232549758
877	0.2325376322
878	0.2325224454
879	0.2325076904
880	0.2324849577
881	0.232474145
882	0.232458258
883	0.2324447425
884	0.2324267031
885	0.2324110439
886	0.2323942734
887	0.2323843421
888	0.2323678179
889	0.2323465313
890	0.232322305
891	0.2322985474
892	0.2322829289
893	0.232264594
894	0.2322483892
895	0.2322234042
896	0.2322079288
897	0.2321954259
898	0.2321798865
899	0.2321664567
900	0.2321522162
901	0.2321348433
902	0.23211473
903	0.2321017182
904	0.2320787608
905	0.232054995
906	0.232046351
907	0.232029192
908	0.2320080784
909	0.2319950472
910	0.2319674684
911	0.231951198
912	0.2319362632
913	0.2319121287
914	0.2318976321
915	0.23187954
916	0.2318623939
917	0.2318480998
918	0.2318305081
919	0.2318188665
920	0.2318041146
921	0.2317725648
922	0.2317524325
923	0.2317408814
924	0.2317322982
925	0.2317243491
926	0.2317054581
927	0.23169272
928	0.2316668026
929	0.2316519891
930	0.2316273806
931	0.2315983085
932	0.2315764453
933	0.2315592014
934	0.2315425329
935	0.2315335472
936	0.2315137231
937	0.2314899506
938	0.2314799277
939	0.2314570686
940	0.2314379561
941	0.2314192583
942	0.2314014364
943	0.2313735072
944	0.231353428
945	0.2313383146
946	0.2313274103
947	0.2313125092
948	0.2313011368
949	0.2312835096
950	0.2312693995
951	0.2312547252
952	0.2312283977
953	0.2312124954
954	0.2312021197
955	0.2311866657
956	0.2311764271
957	0.2311611192
958	0.2311460717
959	0.2311357208
960	0.2311275613
961	0.2311204587
962	0.2311066339
963	0.2310948959
964	0.2310787002
965	0.2310636073
966	0.2310483239
967	0.2310327737
968	0.2310153424
969	0.2309976495
970	0.2309782636
971	0.230954262
972	0.2309344228
973	0.2309043063
974	0.2308840171
975	0.2308577699
976	0.230844415
977	0.2308331619
978	0.2308228319
979	0.2308026053
980	0.2307806733
981	0.2307675758
982	0.2307496731
983	0.230735484
984	0.2307187641
985	0.2307092078
986	0.2306890659
987	0.2306680567
988	0.2306470911
989	0.2306287381
990	0.2306036316
991	0.2305768968
992	0.2305648176
993	0.2305483079
994	0.2305362933
995	0.2305160052
996	0.2305039326
997	0.2304789568
998	0.2304641387
999	0.2304408134
